"DateTime","valvePos","Campbell","Aerodyne","LosGatos","AeroExcess_Avg"
2016-03-22 09:08:56,4,"Chm1","Chm7","Chm6",-133.6
2016-03-22 09:10:12,4,"Chm8","Chm8","Chm8",-145.5
2016-03-22 09:10:14,4,"Chm8","CAL1","Chm3",35.96
2016-03-22 09:12:15,4,"Chm8","CAL0","Chm3",-204.7
2016-03-22 09:12:17,4,"Chm8","N2ON","Chm3",237.2
2016-03-22 09:14:18,4,"Chm8","N2OF","Chm3",-209.8
2016-03-22 09:14:20,4,"Chm8","ABGD","Chm3",70.54
2016-03-22 09:16:21,4,"Chm8","Chm8","Chm3",-211.1
2016-03-22 09:19:03,4,"Chm1","Chm2","Chm3",-116.1
2016-03-22 09:21:04,4,"Chm8","Chm8","Chm3",-134.8
2016-03-22 09:23:05,4,"Chm1","Chm2","Chm3",-115.1
2016-03-22 09:25:06,4,"Chm8","Chm8","Chm3",-139.2
2016-03-22 09:27:07,4,"Chm1","Chm2","Chm3",-115.1
2016-03-22 09:29:08,4,"Chm8","ABGD","Chm4",163
2016-03-22 09:31:09,4,"Chm8","Chm8","Chm4",-208.4
2016-03-22 09:33:20,4,"Chm2","Chm3","Chm4",-115.4
2016-03-22 09:35:22,4,"Chm8","Chm8","Chm4",-154.5
2016-03-22 09:37:23,4,"Chm2","Chm3","Chm4",-115.1
2016-03-22 09:39:25,4,"Chm8","Chm8","Chm4",-139.4
2016-03-22 09:41:26,4,"Chm2","Chm3","Chm4",-112.5
2016-03-22 09:43:27,4,"Chm8","ABGD","Chm5",-124.6
2016-03-22 09:45:28,4,"Chm8","Chm8","Chm5",-141.5
2016-03-22 09:47:40,4,"Chm3","Chm4","Chm5",-122.6
2016-03-22 09:49:41,4,"Chm8","Chm8","Chm5",-139.2
2016-03-22 09:51:42,4,"Chm3","Chm4","Chm5",-154.4
2016-03-22 09:53:43,4,"Chm8","Chm8","Chm5",-176.6
2016-03-22 09:55:44,4,"Chm3","Chm4","Chm5",-122.3
2016-03-22 09:57:45,4,"Chm8","CAL1","Chm6",36.18
2016-03-22 09:59:46,4,"Chm8","CAL0","Chm6",-202.6
2016-03-22 09:59:48,4,"Chm8","ABGD","Chm6",144.2
2016-03-22 10:01:49,4,"Chm8","Chm8","Chm6",-141
2016-03-22 10:04:02,4,"Chm4","Chm5","Chm6",59.42
2016-03-22 10:06:03,4,"Chm8","Chm8","Chm6",-113.4
2016-03-22 10:08:04,4,"Chm4","Chm5","Chm6",-119
2016-03-22 10:10:05,4,"Chm8","Chm8","Chm6",-174.9
2016-03-22 10:12:08,4,"Chm4","Chm5","Chm6",-132.4
2016-03-22 10:14:09,4,"Chm8","ABGD","Chm7",-109.4
2016-03-22 10:16:10,4,"Chm8","Chm8","Chm7",-140.3
2016-03-22 10:18:21,4,"Chm5","Chm6","Chm7",59.06
2016-03-22 10:20:22,4,"Chm8","Chm8","Chm7",-115.6
2016-03-22 10:22:23,4,"Chm5","Chm6","Chm7",-125.6
2016-03-22 10:24:24,4,"Chm8","Chm8","Chm7",-113.9
2016-03-22 10:26:25,4,"Chm5","Chm6","Chm7",-150.9
2016-03-22 10:28:26,4,"Chm8","ABGD","Chm1",176.8
2016-03-22 10:30:27,4,"Chm8","Chm8","Chm1",-208.6
2016-03-22 10:32:38,4,"Chm6","Chm7","Chm1",58.84
2016-03-22 10:34:40,4,"Chm8","Chm8","Chm1",-149.4
2016-03-22 10:36:41,4,"Chm6","Chm7","Chm1",-120.9
2016-03-22 10:38:42,4,"Chm8","Chm8","Chm1",-135.8
2016-03-22 10:40:43,4,"Chm6","Chm7","Chm1",-121.4
2016-03-22 10:42:44,4,"Chm8","ABGD","Chm2",237.2
2016-03-22 10:44:45,4,"Chm8","Chm8","Chm2",-139.9
2016-03-22 10:46:56,4,"Chm7","Chm1","Chm2",-107.1
2016-03-22 10:48:57,4,"Chm8","Chm8","Chm2",-139.4
2016-03-22 10:50:58,4,"Chm7","Chm1","Chm2",-107.1
2016-03-22 10:52:59,4,"Chm8","Chm8","Chm2",-138.4
2016-03-22 10:55:00,4,"Chm7","Chm1","Chm2",-106.8
2016-03-22 10:57:01,4,"Chm8","Chm8","Chm8",-138.7
2016-03-22 10:57:03,4,"Chm8","CAL1","Chm3",55.72
2016-03-22 10:59:04,4,"Chm8","CAL0","Chm3",-203.6
2016-03-22 10:59:06,4,"Chm8","N2ON","Chm3",79.35
2016-03-22 11:01:07,4,"Chm8","N2OF","Chm3",-208.4
2016-03-22 11:01:09,4,"Chm8","ABGD","Chm3",-206.7
2016-03-22 11:03:10,4,"Chm8","Chm8","Chm3",-140.3
2016-03-22 11:05:21,4,"Chm1","Chm2","Chm3",-115.8
2016-03-22 11:07:22,4,"Chm8","Chm8","Chm3",-138.9
2016-03-22 11:09:23,4,"Chm1","Chm2","Chm3",-115.3
2016-03-22 11:11:24,4,"Chm8","Chm8","Chm3",-139.2
2016-03-22 11:13:25,4,"Chm1","Chm2","Chm3",-116.1
2016-03-22 11:15:26,4,"Chm8","ABGD","Chm4",-100.4
2016-03-22 11:17:27,4,"Chm8","Chm8","Chm4",72.94
2016-03-22 11:19:38,4,"Chm2","Chm3","Chm4",-113.9
2016-03-22 11:21:39,4,"Chm8","Chm8","Chm4",-139.9
2016-03-22 11:23:40,4,"Chm2","Chm3","Chm4",-113.2
2016-03-22 11:25:41,4,"Chm8","Chm8","Chm4",-139.2
2016-03-22 11:27:42,4,"Chm2","Chm3","Chm4",-115.1
